,Должность,Компания,Город,Минимальная заработная плата,Максимальная заработная плата,Валюта,Описание вакансии,Требования к соискателю;
"0,Ведущий инженер по тестированию (python),ЦРТ | Группа компаний,""Санкт-Петербург, Выборгская и еще 2 "",Не указанн,Не указанн,Не указанно,Разработка новых и поддержание в актуальном состоянии существующих автотестов на Python. Анализ прогонов автотестов и осмотр мерж-реквестов. ,Опыт в автоматизации тестирования от 2-3 лет. Опыт автоматизации на Python. Знание основ тест-дизайна и методик тестирования. ";
"1,Backend программист (Python),MANGO FZCO,Москва,120000,Не указанн,[' руб.'],""Компания MANGO - разработка мобильного приложения и поддержка мессенджера. Покрытие кода тестами (unit, pytest, mock) + комментирование. Развертывание на сервере (настройка..."",""Знание FastAPI. Асинхронность + многопоточность. SQL и NoSQLDocker, Docker-Compose. Понимание работы OAuth2, REST API, Socket.IO. Будет преимуществом: Умение...""";
"2,Младший инженер по тестированию (QA performance engineer Junior),ЦРТ | Группа компаний,""Санкт-Петербург, Выборгская и еще 2 "",Не указанн,Не указанн,Не указанно,Проводить анализ результатов нагрузочного тестирования. Настраивать системы мониторинга производительности (grafana+influxdb). Писать отчеты по нагрузочному тестированию.,""С python чуть сложнее, но тоже вполне реально). Понимание аппаратной части ПК. Понимание как устроена сеть и знание основных протоколов...""";
3,Аналитик данных / Data Analyst,Сбер. Экспертам и руководителям,Москва,Не указанн,Не указанн,Не указанно,Проверять продуктовые гипотезы и готовить Ad-hoc аналитику для поддержки принятия бизнес-решений. Проводить A/B тесты и интерпретировать результаты. ,Опыт работы с большими массивами данных. Знания SQL и Python. Опыт создания дашбордов в Tableau или другой BI системе. ;
"4,Преподаватель Backend направления,ООО NEXTGEN ACADEMY,Ташкент,6000000,10000000,[' сум'],""Проведение тренингов и обучающих курсов (Python, Django/Flask). Разработка , а также реализация программ обучения и методических материалов в соответствии с..."",""Теоретические знания и практический опыт разработки с помощью Python, Django, портфолио с готовыми проектами по созданию веб-приложений/веб-сайтов. """;
"5,SQL разработчик,ООО НУР Телеком,Бишкек,Не указанн,Не указанн,Не указанно,""Разработка систем сбора и хранения данных для отчетности из разнородных структур данных (СУБД, аналитические платформы и тд). Подготовка/чистка данных..."",""Опыт работы с BI платформами (Tableau, Power BI и тп.). Знание Python будет плюсом. Английский язык на уровне B1...""";
6,Аналитик данных / Data Analyst,Сбер. Экспертам и руководителям,Москва,Не указанн,Не указанн,Не указанно,Проверять продуктовые гипотезы и готовить Ad-hoc аналитику для поддержки принятия бизнес-решений. Проводить A/B тесты и интерпретировать результаты. ,Опыт работы с большими массивами данных. Знания SQL и Python. Опыт создания дашбордов в Tableau или другой BI системе. ;
"7,Специалист по углубленной аналитике данных (Data scientist),""А1. Информационные технологии, телеком"",""Минск, Купаловская и еще 1 "",Не указанн,Не указанн,Не указанно,""Исследование данных из различных корпоративных источников для извлечения ценной для бизнеса информации. Формирование требований к источникам данных, необходимых для реализации..."",""статистическими пакетами (SPSS, STATISTICA и т.п.), библиотеками R и Python для углубленной аналитики и машинного обучения. Практический опыт извлечения...""";
"8,Разработчик Python,ООО Нетопия,Санкт-Петербург,200000,250000,[' руб.'],Работка backend части программного обеспечения. Разработка внутренних библиотек. Оптимизация узких мест в основной архитектуре продукта.,""Владение Python (asyncio, aiohttp, pydantic, FastAPI, sqlalchemy). Понимание зачем нужен ООП. Умение работать с GIT. Понимание базовых принципов работы API. """;
"9,Программист Python Junior,BRANDPOL,Екатеринбург,Не указанн,Не указанн,Не указанно,""Обеспечивать работоспособность и доступность бизнес-систем компании. Управлять конфигурациями и микросервисами. Находить не тривиальные решения. Быть """"белыми хакерами"""" всегда решать..."",Высшее образование (можно неоконченное/неполное) технического ВУЗа (с курсов по Python не принимаем). Логичный и структурированный подход к решению задач...";
"10,Разработчик Python,ООО Нетопия,Москва,200000,250000,[' руб.'],Работка backend части программного обеспечения. Разработка внутренних библиотек. Оптимизация узких мест в основной архитектуре продукта.,""Владение Python (asyncio, aiohttp, pydantic, FastAPI, sqlalchemy). Понимание зачем нужен ООП. Умение работать с GIT. Понимание базовых принципов работы API. """;
"11,Программист Python,ООО Траектория,""Санкт-Петербург, Лесная и еще 3 "",45000,250000,[' руб.'],Разработка новых web приложений. Принимать активное участие в обсуждении архитектурных решений. Проводить Code Review коллег. Автоматизация бизнес-процессов. ,Базовые знания Python3. Понимание ООП. Понимание REST API. Базовые знания SQL. Опыт работы с одним из web framework Python...";
"12,Junior Python developer,АО АЛГОНТ,Калуга,50000,90000,[' руб.'],""Единая платформа управления системами безопасности. Система видеонаблюдения. Система автоматизированного досмотра днищ автотранспорта """"Автодосмотр"""". Система автоматизированного досмотра Ж/Д составов """"ЖД..."",Знание Python. Знакомство с Git. Знакомство с Linux. Будет плюсом: Знание основ unit-тестирования. Знание SQL и опыт работы с...";
"13,""Python-разработчик (Django, DRF)"",ООО Фабрика Решений,Москва,60000,220000,[' руб.'],""Внимание: с командами не работаем, только с индивидуальными исполнителями. Профессиональный рост и участие в построении архитектур сложных систем."",""Опыт разработки сложных проектов. Обязателен опыт работы с django 2.*, python 3.7, djangorestframework. Знание SQL (в частности, PostgreSQL) и...""";
"14,Разработчик C# / Python,ООО Дубайт,""Москва, Проспект Вернадского и еще 2 "",300000,500000,[' руб.'],""Разработка систем анализа, обработки и визуализации данных, в т.ч. Big data. Автоматизация бизнес-операций и интеграция с текущими процессами."",""Опыт разработки приложений на базе С# под .NET Core от 3 лет. Опыт работы с Python 3 (numpy, pandas, sklearn...""";
"15,Junior Python Backend Developer - разработчик Python,ООО Дэстэн Партнерс,""Москва, Выставочная"",80000,120000,[' руб.'],Участие в проектировании архитектуры системы. Разработка микросервисов и участие в создании высоконагруженных систем (10.000 пользователей в сутки). ,""Коммерческая разработка на Python от года. Опыт написания микросервисов, понимание микросервисной архитектуры. Опыт работы с MySQL/Postgres. Redis, MongoDB. """;
"16,Python Backend Developer / WEB - разработчик,ООО Перфект Системс,Москва,300000,450000,[' руб.'],""Обязанности web-разработка, 85% backend / 15% database."",""Знание возможностей Python и экосистемы Python (модули, IDE, shell & bash). Опыт настройки среды Linux / Unix с помощью инструментов Python. """;
"17,Ведущий Python разработчик (удаленка),Apostro,Москва,8000,450000,[' USD'],Разрабатывать пайплайн для обработки большого количества исторических/риалтайм данных (100+ гигабайт). Пайплайн находит индикаторы будущих атак и считает десятки...,""Знание Python, Django и основных сопутствующих библиотек и фреймворков. Практический опыт работы построения пайплайнов для обработки больших объемов данных в...""";
"18,Python разработчик,Соловьев Игорь,Екатеринбург,100000,200000,[' руб.'],""Основной сферой деятельности будет написание торговой программы, работа с GUI, написание различных коннекторов к биржам через API интерфейс, торговых скриптов. "",Опыт разработки от года. - Опыт работы с API. - Желательно умение работать с SQL Alchemy и GUI. - Невероятным плюсом будет любой...";
"19,Python разработчик,Kvando Technologies,Брянск,25000,200000,[' руб.'],""Разработка web-проектов на Flask, Django. Разработка парсеров, чат-ботов."",""Уверенное знание Python. Умение писать читабельный и оптимальный код. Понимание принципов ООП. Знание основных паттернов программирования. Будет плюсом, если есть...""";
"20,Разработчик Python,Газпром нефть,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Создание имитационных моделей цепочки поставок нефти / нефтепродуктов, симуляция логистической сети, моделирование цепочки поставок от постановки задачи до достижения требуемых КПЭ..."",""Уверенное владения Python 3.8+ (PEP8, Pandas, NumPy, Matplotlib, lxml, venv, conda, jupyter). Понимание принципов проектирования архитектуры приложения...""";
"21,Преподаватель Python,Алабуга. Международная школа,Нижний Новгород,125000,Не указанн,[' руб.'],Программирование Python. Лабораторный химический анализ. Мехатроника и робототехника. BIM-проектирование. Электротехника. Автоматизированные системы управления. Микроэлектроника. Проведение занятий по направлению «Python...,""...примере Python и JavaScript. Приветствуется опыт создания паттернов проектирования, на примере паттерна MVC и WEB-Framework-а Django для Python. """;
"22,Программист Python,Парконика,Санкт-Петербург,90000,Не указанн,[' руб.'],""Интеграция с внешними сервисами (системами, ПО), в рамках требований ТЗ. Интеграция в систему новых устройств, написание логики работы. "",""Понимание принципов событийно-ориентированного программирования. Опыт работы с очередями, потоками. Понимание принципов работы сетей/связки сервер-клиент. Работа с протоколами...""";
"23,Ведущий Python Backend разработчик,ООО МКК Всегда в плюсе,Алматы,5000,Не указанн,[' USD'],Разработка бэкенда внешних (B2C) и внутренних ИТ-продуктов и сервисов компании на Python. Участие в разработке продуктов с...,""Отличные знания современных протоколов Веба (HTTP, Websockets). Отличные знания Python, включая асинхронный Python и фреймворки на его основе: FastAPI, aiohttp...""";
"24,""Разработчик Python, Django"",ООО МК ЭЛЕКТРО,Челябинск,100000,Не указанн,[' руб.'],""формирование СЕО заголовков, СЕО описаний, расчёт цен по алгоритмам и т.д.) работает на Ubuntu + Python. - Backend на DRF..."",""Знание Python (>=3.8). - Умение работать с многопоточностью/асинхронностью (asyncio, multiprocessing, multitheading). - Умение работать с очередями: Celery, Redis. - """;
"25,Python Developer,ТОО Казах Софт Девелопмент,Астана,Не указанн,Не указанн,Не указанно,Сборка новых образов Apache Superset. Разработка REST и SOAP API.,""Высшее техническое образование. Знание языков Python/JS(Flask, React). Опыт программирования на языке Python от 2-х лет, наличие выполненных...""";
26,Python / JavaScript разработчик веб-приложений (Fullstack),ООО Инфо Про,Москва,80000,120000,[' руб.'],Идет набор в команду разработчиков в долгосрочный проект в области визуализации данных. Проект также включает в себя веб-сервисы по...,Требования к соискателю не указанны;
"27,Python Middle Developer,RapidRenderFarm,Москва,100000,150000,[' руб.'],Разработка клиентской части проектов компании (демоны с возможностью вызова графического интерфейса). Написание тестов и документации при необходимости (на это укажет...,""Высшее техническое образование. Python3, Flask, Django, PyQt, boto3. Хорошая алгоритмическая база. Желателен опыт работы с s3.""";
"28,Ведущий Python Backend разработчик,ООО МКК Всегда в плюсе,Минск,5000,150000,[' USD'],Разработка бэкенда внешних (B2C) и внутренних ИТ-продуктов и сервисов компании на Python. Участие в разработке продуктов с...,""Отличные знания современных протоколов Веба (HTTP, Websockets). Отличные знания Python, включая асинхронный Python и фреймворки на его основе: FastAPI, aiohttp...""";
"29,Разработчик Python,Эттон,Казань,120000,150000,[' руб.'],Разработка ПО (написание программного кода).,""Python, Django ( 3-лет), DRF (Django Rest framework), celery, rabbitmq, redis, postgresql. Git/CI. Знание ООП, Solid, REST. """;
